"","species","stage","eqName","nParam","AIC","CTmin","CTmax"
"77","Ostrinia nubilalis","egg","regniere_12",6,-135.282,12.43,48.23
"78","Ostrinia nubilalis","larva","analytis_77",5,-378.286,6.561,35
"79","Ostrinia nubilalis","larva","ratkowsky_83",4,-381.692,7.002,73.323
"80","Ostrinia nubilalis","larva","hilbertLogan_83",5,-379.963,8.035,96.297
"81","Ostrinia nubilalis","larva","beta_95",5,-379.836,8.22,1047.73
"82","Ostrinia nubilalis","larva","beta_16",4,-381.715,9.706,66.415
"83","Ostrinia nubilalis","larva","briere1_99",3,-383.277,7.624,44.553
"84","Ostrinia nubilalis","larva","briere2_99",4,-381.714,10.391,145.525
"85","Ostrinia nubilalis","larva","kontodimas_04",3,-383.525,6.045,53.969
"86","Ostrinia nubilalis","larva","shi_11",5,-379.485,11.387,66.144
"87","Ostrinia nubilalis","larva","perf2_11",4,-381.486,11.382,66.016
"88","Ostrinia nubilalis","larva","regniere_12",NA,NA,NA,NA
"89","Ostrinia nubilalis","pupa","analytis_77",5,-305.688,10.334,35.158
"90","Ostrinia nubilalis","pupa","ratkowsky_83",4,-306.886,3.139,38.531
"91","Ostrinia nubilalis","pupa","hilbertLogan_83",5,-306.041,8.284,28.685
"92","Ostrinia nubilalis","pupa","beta_95",5,-305.688,10.334,35.158
"93","Ostrinia nubilalis","pupa","beta_16",4,-306.18,-10.038,39.761
"94","Ostrinia nubilalis","pupa","briere1_99",3,-308.064,11.476,38.905
"95","Ostrinia nubilalis","pupa","briere2_99",4,-307.492,9.128,35.469
"96","Ostrinia nubilalis","pupa","kontodimas_04",3,-307.465,9.226,45.071
"97","Ostrinia nubilalis","pupa","shi_11",5,-305.832,11.985,36.539
"98","Ostrinia nubilalis","pupa","perf2_11",4,-307.833,11.982,36.539
"99","Ostrinia nubilalis","pupa","regniere_12",6,-303.855,11.732,36.613
"100","Sesamia nonagrioides","egg","analytis_77",NA,NA,NA,NA
"101","Sesamia nonagrioides","egg","ratkowsky_83",4,-161.366,5.914,51.679
"102","Sesamia nonagrioides","egg","hilbertLogan_83",5,-159.275,4.379,45.394
"103","Sesamia nonagrioides","egg","beta_95",5,-159.559,-20.52,311.257
"104","Sesamia nonagrioides","egg","beta_16",4,-161.315,5.798,45.568
"105","Sesamia nonagrioides","egg","briere1_99",3,-162.93,6.7,39.861
"106","Sesamia nonagrioides","egg","briere2_99",4,-161.259,8.817,45.574
"107","Sesamia nonagrioides","egg","kontodimas_04",3,-163.314,6.046,45.74
"108","Sesamia nonagrioides","egg","shi_11",5,-158.933,10.306,43.393
"109","Sesamia nonagrioides","egg","perf2_11",4,-160.933,10.305,43.395
"110","Sesamia nonagrioides","egg","regniere_12",6,-157.174,9.514,48.162
