"","stage","sp","modName","parName","Estimate","Std..Error"
"69","larva","Chilo partellus","beta_16","T1",-8.40517689428848,42.1060139917079
"70","larva","Chilo partellus","beta_16","T2",38.5036580934598,1.51576561265695
"71","larva","Chilo partellus","beta_16","Tm",31.3443079283423,0.573996850284107
"72","larva","Chilo partellus","briere1_99","aa",3.25467134958577e-05,4.17858252985117e-06
"73","larva","Chilo partellus","briere1_99","Tmin",13.539583890207,1.2695096627668
"74","larva","Chilo partellus","briere1_99","Tmax",37.1397833664581,0.648135880174885
"75","larva","Chilo partellus","briere2_99","aa",4.24676812915594e-05,1.52471703284082e-05
"76","larva","Chilo partellus","briere2_99","Tmin",12.2381553044954,3.19781856507253
"77","larva","Chilo partellus","briere2_99","Tmax",36.1212023607548,1.4868552715175
"78","larva","Chilo partellus","briere2_99","bb",2.80943511389045,1.77976611266735
"79","larva","Chilo partellus","kontodimas_04","aa",1.17919343964933e-05,3.11616822463647e-06
"80","larva","Chilo partellus","kontodimas_04","Tmin",11.6801254959495,1.22057048292797
"81","larva","Chilo partellus","kontodimas_04","Tmax",40.7706941829295,1.39281687440235
"82","larva","Chilo partellus","shi_11","cc",12.9712042333368,10206.0877820303
"83","larva","Chilo partellus","shi_11","k1",0.000222117867758589,0.17505472464267
"84","larva","Chilo partellus","shi_11","T1",13.7771174104488,4.97182817089113
"85","larva","Chilo partellus","shi_11","k2",0.346199022790123,0.798976220317157
"86","larva","Chilo partellus","shi_11","T2",37.4798178145481,2.79194891808248
"87","larva","Chilo partellus","perf2_11","cc",0.00287628625610909,0.000579134083966412
"88","larva","Chilo partellus","perf2_11","T1",13.7708401746888,1.68036719603196
"89","larva","Chilo partellus","perf2_11","k",0.345304339055569,0.230436813879751
"90","larva","Chilo partellus","perf2_11","T2",37.4824580763334,1.37124949973327
"91","larva","Chilo partellus","regniere_12","phi",0.0490486484082802,9.31971898713552
"92","larva","Chilo partellus","regniere_12","bb",0.0149613535452565,8.1010228589942
"93","larva","Chilo partellus","regniere_12","Tb",13.6526351728996,9.19777111031818
"94","larva","Chilo partellus","regniere_12","Tm",37.5331325326992,3.62228258261287
"95","larva","Chilo partellus","regniere_12","deltab",-18491.2020083681,65262211894.4376
"96","larva","Chilo partellus","regniere_12","deltam",3.02814033485972,11.5707425050062
"97","pupa","Chilo partellus","analytis_77","aa",0.0189020328688645,0.0366876908868349
"98","pupa","Chilo partellus","analytis_77","bb",0.708241545208932,0.553114041655311
"99","pupa","Chilo partellus","analytis_77","cc",0.053822481132975,0.190018364420134
"100","pupa","Chilo partellus","analytis_77","Tmin",15.2812738953457,3.78381199160411
"101","pupa","Chilo partellus","analytis_77","Tmax",35.0325174033154,0.506434182342456
"102","pupa","Chilo partellus","ratkowsky_83","cc",0.0205521850435205,0.00992803686459688
"103","pupa","Chilo partellus","ratkowsky_83","T1",6.7788880345145,4.35193717821867
"104","pupa","Chilo partellus","ratkowsky_83","T2",43.8632619378983,4.47414349171584
"105","pupa","Chilo partellus","ratkowsky_83","k",0.110570717079956,0.113978362300712
"106","pupa","Chilo partellus","hilbertLogan_83","phi",0.208917576527879,0.0459132986666778
"107","pupa","Chilo partellus","hilbertLogan_83","aa",13.7081002113519,5.84736856513143
"108","pupa","Chilo partellus","hilbertLogan_83","Tb",10.8288191615797,2.58530336449123
"109","pupa","Chilo partellus","hilbertLogan_83","Tmax",24.905371082285,117.289972166342
"110","pupa","Chilo partellus","hilbertLogan_83","deltaT",0.366650111274778,58.0604736446774
"111","pupa","Chilo partellus","beta_95","mu",-3.9686508110795,1.94121660317922
"112","pupa","Chilo partellus","beta_95","Tb",15.2809445032366,3.78435068458206
"113","pupa","Chilo partellus","beta_95","Tc",35.0325539901638,0.506792980642128
"114","pupa","Chilo partellus","beta_95","aa",0.708288884823319,0.553187722099241
"115","pupa","Chilo partellus","beta_95","bb",0.0538366676577903,0.190036062053009
"116","pupa","Chilo partellus","beta_16","rm",0.143194257552079,0.00434751588883918
"117","pupa","Chilo partellus","beta_16","T1",4.50939175789853,13.3400359890956
"118","pupa","Chilo partellus","beta_16","T2",41.4985264236529,2.72141790074584
"119","pupa","Chilo partellus","beta_16","Tm",31.8680567343135,0.599024780284967
"120","pupa","Chilo partellus","briere1_99","aa",8.69506195322228e-05,9.78096965370954e-06
"121","pupa","Chilo partellus","briere1_99","Tmin",11.4250700282341,1.21897265075575
"122","pupa","Chilo partellus","briere1_99","Tmax",38.3264024814082,0.690213306825096
"123","pupa","Chilo partellus","briere2_99","aa",9.95490142935014e-05,6.27863678543055e-05
"124","pupa","Chilo partellus","briere2_99","Tmin",10.927641834085,3.06810028314563
"125","pupa","Chilo partellus","briere2_99","Tmax",37.7297819186554,2.89188245362298
"126","pupa","Chilo partellus","briere2_99","bb",2.27397906919682,1.51063732916554
"127","pupa","Chilo partellus","kontodimas_04","aa",2.58212722345885e-05,5.60491772074416e-06
"128","pupa","Chilo partellus","kontodimas_04","Tmin",9.67595596406436,1.06857327648107
"129","pupa","Chilo partellus","kontodimas_04","Tmax",43.0250242901848,1.41696723865896
"130","pupa","Chilo partellus","shi_11","cc",0.221023772830189,0.0957527770430515
"131","pupa","Chilo partellus","shi_11","k1",0.0630511523707731,0.0491297000007955
"132","pupa","Chilo partellus","shi_11","T1",14.4361378278871,1.53903246899416
"133","pupa","Chilo partellus","shi_11","k2",1.47224073312381,12.0560094962223
"134","pupa","Chilo partellus","shi_11","T2",36.1235317823676,8.99414630907808
"135","pupa","Chilo partellus","perf2_11","cc",0.00906151151985113,0.001781063421331
"136","pupa","Chilo partellus","perf2_11","T1",12.8410167268055,1.4974518454168
"137","pupa","Chilo partellus","perf2_11","k",0.250700802118344,0.169257810105104
"138","pupa","Chilo partellus","perf2_11","T2",39.1838159782893,2.08740654161236
"139","pupa","Chilo partellus","regniere_12","phi",0.132044999328909,0.822483951707071
"140","pupa","Chilo partellus","regniere_12","bb",0.0104374552681553,0.314737205868596
"141","pupa","Chilo partellus","regniere_12","Tb",14.4793172261145,3.98315582656561
"142","pupa","Chilo partellus","regniere_12","Tm",36.1579166416505,13.6107746555287
"143","pupa","Chilo partellus","regniere_12","deltab",0.206271584280862,4.12882866629503
"144","pupa","Chilo partellus","regniere_12","deltam",0.717653564880201,9.09083249279547
"145","egg","Busseola fusca","analytis_77","aa",9.77329935489296e-11,1.79664682471435e-07
"146","egg","Busseola fusca","analytis_77","bb",1.54697591766476,21.4396901024007
"147","egg","Busseola fusca","analytis_77","cc",3.97816337874231,353.172161100965
"148","egg","Busseola fusca","analytis_77","Tmin",9.49795508476543,54.6044557378582
"149","egg","Busseola fusca","analytis_77","Tmax",93.6994855365478,4848.46725199595
"150","egg","Busseola fusca","ratkowsky_83","cc",12.899018653466,37206.9334025123
"151","egg","Busseola fusca","ratkowsky_83","T1",7.01244726168882,5.82454196001047
"152","egg","Busseola fusca","ratkowsky_83","T2",54.6075247782857,50.6479103085882
