minimum;Q1;median;Q3;maximum;mean;month;scenario;species
0.0208151236415296;0.043069051348482;0.0609114594007403;0.0791024879979018;0.12391916685755;0.0643360411627292;1;ssp126;Chilo partellus
0.00637582960004346;0.0386396056577336;0.0544473336057012;0.0818592905811546;0.120264307465943;0.0619353153382673;2;ssp126;Chilo partellus
0.0218677952278623;0.0392225427012522;0.0584530689176634;0.0790897860942814;0.114096146995105;0.0619711980031965;3;ssp126;Chilo partellus
0.0324462278064471;0.0403862469449815;0.058526885434264;0.0875361129967604;0.125351561243463;0.0659151339984365;4;ssp126;Chilo partellus
0.028854573999031;0.0484813423112403;0.0686121836794309;0.100254609864816;0.134084812662867;0.0729703855161408;5;ssp126;Chilo partellus
0.0248210554408157;0.0469138957340349;0.075033925893355;0.103733869544406;0.127783669930051;0.0756120344198635;6;ssp126;Chilo partellus
0.0259276409750862;0.0477287329785546;0.0756495814523971;0.0998723379995811;0.129966044837483;0.0762345365975848;7;ssp126;Chilo partellus
0.0360549167659657;0.0493835238108976;0.0667885196334995;0.107265428819996;0.128847692131549;0.0754198499821329;8;ssp126;Chilo partellus
0.0341585921752627;0.0473545298351472;0.0710758672642128;0.0965907505355947;0.122028341219732;0.0743479851178402;9;ssp126;Chilo partellus
0.0277621223379038;0.0553266492145194;0.0739514411161504;0.0952880377412437;0.12582474537995;0.0759512283980884;10;ssp126;Chilo partellus
0.0239317735799413;0.0447555766916237;0.0664247918550331;0.0862182984622455;0.137569175221099;0.0691618795910684;11;ssp126;Chilo partellus
0.0307180606992447;0.042287735481259;0.0607397304578751;0.0782649259256898;0.120533108998607;0.0654858574499247;12;ssp126;Chilo partellus
0.144662166407337;0.185372950260837;0.223011532623606;0.259617596595963;0.325885489845145;0.224027146840782;1;ssp585;Chilo partellus
0.144224342483891;0.168735744230958;0.210922382517969;0.249134620221588;0.335921788330107;0.215777257523024;2;ssp585;Chilo partellus
0.143715731165597;0.166379654357667;0.202756335475835;0.234046697790304;0.350312042695666;0.20894891269856;3;ssp585;Chilo partellus
0.154374937440254;0.185057810867978;0.215364554990881;0.251323036806926;0.346814662051571;0.220601680769858;4;ssp585;Chilo partellus
0.159110409692482;0.205339689677229;0.240920402455506;0.295059009088591;0.350166994610929;0.249838402814665;5;ssp585;Chilo partellus
0.135040483174802;0.218414331142139;0.263132994799591;0.330680135882949;0.384156842513619;0.27153458857528;6;ssp585;Chilo partellus
0.128846462262135;0.219263945395465;0.276356401620445;0.332312659706227;0.385265742188147;0.269846781990306;7;ssp585;Chilo partellus
0.128212104351624;0.207917482246981;0.259497347307314;0.316983229028823;0.374643856632917;0.256388006447564;8;ssp585;Chilo partellus
0.128661404366323;0.194438054326224;0.234419922404087;0.282216463330527;0.332435230945268;0.237334868566796;9;ssp585;Chilo partellus
0.135623513833771;0.19009032971046;0.227126440436797;0.269702366798021;0.361045239032388;0.233610534121423;10;ssp585;Chilo partellus
0.16595699013952;0.1959717701289;0.222044578278471;0.268475541107516;0.355773224855308;0.23702832612451;11;ssp585;Chilo partellus
0.156112228123226;0.187425872723113;0.220490660554604;0.266159115301008;0.361455144044959;0.231973998239668;12;ssp585;Chilo partellus
0.0141095300566604;0.0340462747893515;0.0462064200727367;0.0574170118105812;0.109730060534538;0.0471408288003072;1;ssp126;Busseola fusca
0.00852612539610098;0.0306948964814511;0.0367542035846288;0.0520559506173346;0.0973484980194977;0.0416724339318503;2;ssp126;Busseola fusca
0.011150099619989;0.0262636822733083;0.0375469141559776;0.0459561676541956;0.0930668606893926;0.0382988273928594;3;ssp126;Busseola fusca
0.015567026208304;0.0315585693660086;0.0378866196036517;0.056810558898528;0.0939296234709186;0.0442763842267444;4;ssp126;Busseola fusca
0.0220403647042635;0.0392598822980801;0.051366662647106;0.0675385217912058;0.102615747658795;0.055281450348549;5;ssp126;Busseola fusca
0.0221294850896596;0.0423379543351772;0.0652407882810664;0.086002824317428;0.0996959696066189;0.0635181535873743;6;ssp126;Busseola fusca
0.0195180147989122;0.0425699349404342;0.0651468218593008;0.081347126478413;0.109842128954531;0.0647154656911658;7;ssp126;Busseola fusca
0.02045562078783;0.0391697799410428;0.0550906338414314;0.0805895156123098;0.0976290570231007;0.0602295169507968;8;ssp126;Busseola fusca
0.00509035375867684;0.0385425762728286;0.0539329284956322;0.0684736628025822;0.0988727624499396;0.0536844552607237;9;ssp126;Busseola fusca
0.00300881664724062;0.038931087500531;0.0526024056987326;0.0720852552334491;0.107645381770389;0.0530677406838084;10;ssp126;Busseola fusca
0.0141427656920734;0.0345969810712523;0.0495249028175486;0.0684882272106978;0.120290315293012;0.0534965005725275;11;ssp126;Busseola fusca
0.0247948509256763;0.0336159797296406;0.047208595401746;0.0638385310696157;0.110983188682008;0.0510896431482763;12;ssp126;Busseola fusca
0.0307110188339549;0.0956694835241928;0.12355598255073;0.152737620855127;0.248076951900305;0.126783044031811;1;ssp585;Busseola fusca
-0.0712942369512904;0.0466249169998298;0.0966918955733292;0.125935728354303;0.221692703449658;0.0890273241516044;2;ssp585;Busseola fusca
-0.119741727151326;0.0317186208038835;0.0907186174592385;0.110000511712678;0.208457329263248;0.0669527427872506;3;ssp585;Busseola fusca
-0.042853552193429;0.0617901168184402;0.110457083706481;0.130286653610865;0.22653237748797;0.0938477264316114;4;ssp585;Busseola fusca
0.0215349450217612;0.110853767993479;0.148665091245811;0.166497076451274;0.244201027892147;0.142596952029026;5;ssp585;Busseola fusca
0.0818740707174853;0.162851214741378;0.177321867185754;0.207251757581858;0.292997733511503;0.182180163338697;6;ssp585;Busseola fusca
